ã¶íËédólî‘çÜ_é˘óvâ∆ÉRÅ[Éh,ã¶íËédólî‘çÜ_ïiéÌÉRÅ[Éh,ã¶íËédólî‘çÜ_ç|éÌÉRÅ[Éh,ã¶íËédólî‘çÜ_í≤éøÉRÅ[Éh,ã¶íËédólî‘çÜ_édè„ÉRÅ[Éh,ã¶íËédólî‘çÜ_åˆèÃî¬å˙,ã¶íËédólî‘çÜ_åˆèÃî¬ïù,ã¶íËédólî‘çÜ_òAî‘,ã¶íËédólî‘çÜ_â¸í˘î‘çÜ,ÉRÉCÉãî‘çÜ,ÉRÉCÉãï™äÑî‘çÜ,çÏã∆îNåéì˙éûï™,çHíˆÉRÅ[Éh_çÏã∆ÉRÅ[Éh,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh1,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh2,çHíˆÉRÅ[Éh_èàóùéÌï ,ëOñ èoÇµãÊï™,çÏã∆å„ÉRÉCÉãí∑Ç≥,îMèàóù_ë¨ìx,îMèàóù_í£óÕì¸ë§,îMèàóù_í£óÕíÜâõ,îMèàóù_í£óÕèoë§,îMèàóù_H2ó¨ó ,îMèàóù_òFâ∑1,îMèàóù_òFâ∑2,îMèàóù_òFâ∑3,îMèàóù_òFâ∑4,îMèàóù_òFâ∑5,îMèàóù_òFâ∑6,îMèàóù_òFâ∑7,îMèàóù_òFâ∑8,îMèàóù_òFâ∑9,îMèàóù_òFâ∑10,îMèàóù_òFâ∑11,îMèàóù_òFâ∑12,îMèàóù_òFâ∑13,îMèàóù_òFâ∑14,îMèàóù_òFâ∑15,îMèàóù_òFâ∑16
D250,S,600,34,MW,0300,4600,03,01,51821,2,202402081741,2,0,6,4,0,5408,52.5,9.95,2.01,38.58,60,657,655,656,655,655,655,650,656,509,404,293,301,209,192,85,13
D250,S,600,34,MW,0300,4600,03,01,52404,1,202402140438,2,0,6,4,0,2685,52.5,9.99,1.99,38.21,59,658,655,657,655,654,655,644,655,511,420,294,301,212,195,95,13
D250,S,600,34,MW,0300,4600,03,01,52404,21,202402140706,2,0,6,4,0,3797,52.5,10,2.02,38.64,59,657,655,657,655,654,655,644,656,510,410,292,301,215,196,94,13
D250,S,600,34,MW,0300,4600,91,06,49122,A,202402141133,2,0,6,4,0,387,40,9.93,2.02,37.54,59,632,630,632,630,630,630,606,606,490,404,392,402,296,249,99,17
D250,S,600,34,MW,0300,4600,91,06,49122,B,202402141257,2,0,6,4,0,1002,40,9.93,2,36.62,59,632,630,632,630,630,630,606,606,491,403,392,402,299,254,98,18
D250,S,600,34,MW,0300,4600,03,01,52405,1,202402141725,2,0,6,4,0,5411,52.5,9.93,2.03,37.73,59,657,655,657,654,654,655,648,656,508,404,293,301,202,192,97,18
D250,S,600,34,MW,0300,4600,03,01,52403,1,202402160611,2,0,6,4,0,5587,52.5,9.96,2.02,38.3,61,657,655,657,655,655,655,649,656,509,404,290,301,215,195,94,14
D250,S,600,34,MW,0300,4600,03,01,52404,22,202402160903,2,0,6,4,0,3791,52.5,10,2.06,38.52,61,657,655,657,654,655,655,653,656,509,404,292,301,209,196,91,12
D250,S,600,34,MW,0300,4600,03,01,52403,2,202402161234,2,0,6,4,0,5646,52.5,9.96,2.06,38.14,61,657,655,657,655,655,655,652,656,511,404,292,301,205,196,93,13
D250,S,600,34,MW,0300,4600,03,01,52405,2,202402161923,2,0,6,4,0,5477,52.5,9.93,2.05,37.8,60,657,655,657,655,655,655,649,656,508,404,292,301,213,196,94,14
