Angle [deg],DRValue [um]
36.675,-0.801
36.7,-0.715
36.725,-0.617
36.75,-0.531
36.775,-0.431
36.8,-0.345
36.825,-0.261
36.85,-0.191
36.875,-0.119
36.9,-0.06
36.925,-0.032
36.95,0.01
36.975,0.03
37,0.05
37.025,0.062
37.05,0.076
37.075,0.094
37.1,0.104
37.125,0.132
37.15,0.156
37.175,0.19
37.2,0.222
37.225,0.257
37.25,0.287
37.275,0.311
37.3,0.329
37.325,0.335
37.35,0.331
37.375,0.321
37.4,0.295
37.425,0.265
37.45,0.235
37.475,0.189
37.5,0.143
37.525,0.09
37.55,0.046
37.575,0.004
37.6,-0.038
37.625,-0.066
37.65,-0.096
37.675,-0.122
37.7,-0.142
37.725,-0.15
37.75,-0.162
37.775,-0.174
37.8,-0.184
37.825,-0.195
37.85,-0.211
37.875,-0.225
37.9,-0.245
37.925,-0.273
37.95,-0.299
37.975,-0.335
38,-0.377
38.025,-0.419
38.05,-0.459
38.075,-0.509
38.1,-0.561
38.125,-0.603
38.15,-0.648
38.175,-0.694
38.2,-0.74
38.225,-0.77
38.25,-0.796
38.275,-0.82
38.3,-0.84
38.325,-0.84
38.35,-0.83
38.375,-0.822
38.4,-0.804
38.425,-0.786
38.45,-0.766
38.475,-0.735
38.5,-0.699
38.525,-0.673
38.55,-0.637
38.575,-0.605
38.6,-0.561
38.625,-0.525
38.65,-0.497
38.675,-0.465
38.7,-0.431
38.725,-0.403
38.75,-0.385
38.775,-0.363
38.8,-0.348
38.825,-0.334
38.85,-0.326
38.875,-0.314
38.9,-0.308
38.925,-0.298
38.95,-0.3
38.975,-0.286
39,-0.278
39.025,-0.26
39.05,-0.244
39.075,-0.22
39.1,-0.188
39.125,-0.149
39.15,-0.107
39.175,-0.057
39.2,-0.001
39.225,0.049
39.25,0.107
39.275,0.171
39.3,0.241
39.325,0.301
39.35,0.365
39.375,0.431
39.4,0.505
39.425,0.571
39.45,0.64
39.475,0.702
39.5,0.758
39.525,0.814
39.55,0.844
39.575,0.868
39.6,0.878
39.625,0.874
39.65,0.854
39.675,0.814
39.7,0.768
39.725,0.72
39.75,0.664
39.775,0.602
39.8,0.537
39.825,0.479
39.85,0.427
39.875,0.383
39.9,0.341
39.925,0.309
39.95,0.287
39.975,0.277
40,0.275
40.025,0.267
40.05,0.267
40.075,0.265
40.1,0.263
40.125,0.259
40.15,0.254
40.175,0.238
40.2,0.222
40.225,0.204
40.25,0.188
40.275,0.162
40.3,0.142
40.325,0.118
40.35,0.098
40.375,0.076
40.4,0.06
40.425,0.04
40.45,0.026
40.475,-0.002
40.5,-0.021
40.525,-0.043
40.55,-0.071
40.575,-0.103
40.6,-0.143
40.625,-0.183
40.65,-0.219
40.675,-0.263
40.7,-0.299
40.725,-0.333
40.75,-0.357
40.775,-0.369
40.8,-0.379
40.825,-0.383
40.85,-0.378
40.875,-0.366
40.9,-0.348
40.925,-0.332
40.95,-0.314
40.975,-0.294
41,-0.274
41.025,-0.254
41.05,-0.236
41.075,-0.21
41.1,-0.19
41.125,-0.17
