Angle,DRValue,,,é¸îgêî [mm^-1],é¸ä˙ [mm],DRValue [um]_amp
6.325,-0.154,,254,0.705604556,1.417224409,0.010081756
6.35,-0.164,,255,0.708382527,1.411666667,0.010198867
6.375,-0.164,,256,0.711160497,1.406152344,0.020049721
6.4,-0.169,,257,0.713938468,1.400680934,0.004991583
6.425,-0.167,,258,0.716716439,1.395251938,0.00283735
6.45,-0.161,,259,0.719494409,1.389864865,0.012905678
6.475,-0.161,,260,0.72227238,1.384519231,0.008391058
6.5,-0.153,,261,0.725050351,1.379214559,0.003745214
6.525,-0.146,,262,0.727828321,1.373950382,0.009594784
6.55,-0.15,,263,0.730606292,1.368726236,0.00878221
6.575,-0.138,,264,0.733384263,1.363541667,0.008673942
6.6,-0.132,,265,0.736162233,1.358396226,0.009052607
6.625,-0.132,,266,0.738940204,1.353289474,0.010486798
6.65,-0.122,,267,0.741718175,1.348220974,0.011339083
6.675,-0.113,,268,0.744496146,1.343190299,0.011289026
6.7,-0.111,,269,0.747274116,1.338197026,0.002815983
6.725,-0.095,,270,0.750052087,1.333240741,0.007913797
6.75,-0.085,,271,0.752830058,1.328321033,0.003727172
6.775,-0.067,,272,0.755608028,1.3234375,0.005296908
6.8,-0.045,,273,0.758385999,1.318589744,0.006994322
6.825,-0.014,,274,0.76116397,1.313777372,0.003543507
6.85,0.022,,275,0.76394194,1.309,0.009385289
6.875,0.068,,276,0.766719911,1.304257246,0.008288079
6.9,0.126,,277,0.769497882,1.299548736,0.00275639
6.925,0.178,,278,0.772275852,1.294874101,0.008778481
6.95,0.238,,279,0.775053823,1.290232975,0.002403625
6.975,0.315,,280,0.777831794,1.285625,0.017346228
7,0.389,,281,0.780609765,1.281049822,0.006774575
7.025,0.463,,282,0.783387735,1.276507092,0.014760262
7.05,0.527,,283,0.786165706,1.271996466,0.014259203
7.075,0.611,,284,0.788943677,1.267517606,0.01634819
7.1,0.678,,285,0.791721647,1.263070175,0.016148019
7.125,0.752,,286,0.794499618,1.258653846,0.021841415
7.15,0.808,,287,0.797277589,1.254268293,0.034244787
7.175,0.866,,288,0.800055559,1.249913194,0.017706037
7.2,0.918,,289,0.80283353,1.245588235,0.032240514
7.225,0.958,,290,0.805611501,1.241293103,0.023626233
7.25,0.987,,291,0.808389471,1.237027491,0.017388505
7.275,1.017,,292,0.811167442,1.232791096,0.028612893
7.3,1.039,,293,0.813945413,1.228583618,0.012010308
7.325,1.041,,294,0.816723384,1.224404762,0.016182113
7.35,1.033,,295,0.819501354,1.220254237,0.014334678
7.375,1.029,,296,0.822279325,1.216131757,0.009982665
7.4,1.014,,297,0.825057296,1.212037037,0.013274515
7.425,0.984,,298,0.827835266,1.207969799,0.006180451
7.45,0.95,,299,0.830613237,1.203929766,0.009918267
7.475,0.918,,300,0.833391208,1.199916667,0.002223036
7.5,0.876,,301,0.836169178,1.195930233,0.00495151
7.525,0.846,,302,0.838947149,1.191970199,0.002363749
7.55,0.821,,303,0.84172512,1.188036304,0.00304202
7.575,0.803,,304,0.84450309,1.184128289,0.003078982
7.6,0.785,,305,0.847281061,1.180245902,0.012566744
7.625,0.779,,306,0.850059032,1.176388889,0.007671374
7.65,0.775,,307,0.852837003,1.172557003,0.001433328
7.675,0.785,,308,0.855614973,1.16875,0.006306361
7.7,0.79,,309,0.858392944,1.164967638,0.010022594
7.725,0.8,,310,0.861170915,1.161209677,0.003048386
7.75,0.804,,311,0.863948885,1.157475884,0.003815954
7.775,0.804,,312,0.866726856,1.153766026,0.005816688
7.8,0.808,,313,0.869504827,1.150079872,0.001585666
7.825,0.803,,314,0.872282797,1.146417197,0.008617306
7.85,0.795,,315,0.875060768,1.142777778,0.0085936
7.875,0.775,,316,0.877838739,1.139161392,0.007236206
7.9,0.759,,317,0.880616709,1.135567823,0.003007926
7.925,0.739,,318,0.88339468,1.131996855,0.003989226
7.95,0.727,,319,0.886172651,1.128448276,0.00599912
7.975,0.708,,320,0.888950622,1.124921875,0.006508169
8,0.692,,321,0.891728592,1.121417445,0.001264525
8.025,0.676,,322,0.894506563,1.117934783,0.006980171
8.05,0.662,,323,0.897284534,1.114473684,0.00681928
8.075,0.646,,324,0.900062504,1.111033951,0.010554583
8.1,0.62,,325,0.902840475,1.107615385,0.01105567
8.125,0.599,,326,0.905618446,1.104217791,0.010470212
8.15,0.565,,327,0.908396416,1.100840979,0.00571711
8.175,0.523,,328,0.911174387,1.097484756,0.005413898
8.2,0.477,,329,0.913952358,1.094148936,0.004989217
8.225,0.425,,330,0.916730328,1.090833333,0.004816748
8.25,0.375,,331,0.919508299,1.087537764,0.008383738
8.275,0.314,,332,0.92228627,1.084262048,0.001564909
8.3,0.258,,333,0.925064241,1.081006006,0.002582776
8.325,0.214,,334,0.927842211,1.077769461,0.004570272
8.35,0.174,,335,0.930620182,1.074552239,0.001232012
8.375,0.14,,336,0.933398153,1.071354167,0.004532169
8.4,0.116,,337,0.936176123,1.068175074,0.0037424
8.425,0.107,,338,0.938954094,1.065014793,0.005513987
8.45,0.103,,339,0.941732065,1.061873156,0.005637442
8.475,0.099,,340,0.944510035,1.05875,0.006683125
8.5,0.099,,341,0.947288006,1.055645161,0.005165985
8.525,0.103,,342,0.950065977,1.05255848,0.005257933
8.55,0.105,,343,0.952843947,1.049489796,0.01318312
8.575,0.11,,344,0.955621918,1.046438953,0.022589929
8.6,0.104,,345,0.958399889,1.043405797,0.020323415
8.625,0.098,,346,0.96117786,1.040390173,0.013451919
8.65,0.086,,347,0.96395583,1.037391931,0.000707954
8.675,0.08,,348,0.966733801,1.03441092,0.006579083
8.7,0.068,,349,0.969511772,1.031446991,0.011915192
8.725,0.049,,350,0.972289742,1.0285,0.009605334
8.75,0.031,,351,0.975067713,1.025569801,0.011562995
8.775,0.015,,352,0.977845684,1.02265625,0.004067118
8.8,-0.007,,353,0.980623654,1.019759207,0.005142797
8.825,-0.033,,354,0.983401625,1.016878531,0.002763429
8.85,-0.057,,355,0.986179596,1.014014085,0.002635811
8.875,-0.094,,356,0.988957566,1.01116573,0.005351266
8.9,-0.134,,357,0.991735537,1.008333333,0.004150336
8.925,-0.172,,358,0.994513508,1.00551676,0.003695739
8.95,-0.216,,359,0.997291479,1.002715877,0.006978417
8.975,-0.262,,360,1.000069449,0.999930556,0.00277288
9,-0.318,,361,1.00284742,0.997160665,0.009697252
9.025,-0.367,,362,1.005625391,0.994406077,0.005465829
9.05,-0.405,,363,1.008403361,0.991666667,0.003422688
9.075,-0.447,,364,1.011181332,0.988942308,0.002789521
9.1,-0.475,,365,1.013959303,0.986232877,0.002503872
9.125,-0.495,,366,1.016737273,0.983538251,0.005518603
9.15,-0.507,,367,1.019515244,0.980858311,0.005125708
9.175,-0.512,,368,1.022293215,0.978192935,0.011991976
